// export const csvData = `Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par		“	 BSB version 	pnc	”	footnotes	End text
Heb Sort	Greek Sort	BSB Sort	Verse	Language	WLC / Nestle Base TR RP WH NE NA SBL	WLC / Nestle Base {TR} ⧼RP⧽ (WH) 〈NE〉 [NA] ‹SBL› [[ECM]]	Translit	Parsing	Parsing	Str Heb	Str Grk	VerseId	Hdg	Crossref	Par	Space	begQ	 BSB version 	pnc	endQ	footnotes	End text
28	0	28	2	Hebrew	מְרַחֶ֖פֶת	מְרַחֶ֖פֶת	mə·ra·ḥe·p̄eṯ	V-Piel-Prtcpl-fs	Verb - Piel - Participle - feminine singular	7363								 was hovering 				
29	0	29	2	Hebrew	עַל־	עַל־	‘al-	Prep	Preposition	5921								 over 				
30	0	30	2	Hebrew	פְּנֵ֥י	פְּנֵ֥י	pə·nê	N-cpc	Noun - common plural construct	6440								 the surface 				
31	0	31	2	Hebrew	הַמָּֽיִם׃	הַמָּֽיִם׃	ham·mā·yim	Art | N-mp	Article | Noun - masculine plural	4325								 of the waters 	.			
32	0	32	2	Hebrew																		
33	0	33	2	Hebrew																		
34	0	34	2	Hebrew																		
35	0	35	2	Hebrew																		
36	0	36	2	Hebrew																		
37	0	37	2	Hebrew																		
38	0	38	2	Hebrew																		
39	0	39	2	Hebrew																		
40	0	40	2	Hebrew																		
41	0	41	2	Hebrew																		
43	0	42	3	Hebrew	אֱלֹהִ֖ים	אֱלֹהִ֖ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:3	<p class=|subhdg|>The First Day		<p class=|tab1stline|>			 And God 				
42	0	43	3	Hebrew	וַיֹּ֥אמֶר	וַיֹּ֥אמֶר	way·yō·mer	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	559								 said 	,			
44	0	44	3	Hebrew	יְהִ֣י	יְהִ֣י	yə·hî	V-Qal-Imperf.Jus-3ms	Verb - Qal - Imperfect Jussive - third person masculine singular	1961							“	 Let there be 				
45	0	45	3	Hebrew	א֑וֹר	א֑וֹר	’ō·wr	N-cs	Noun - common singular	216								 light 	,	” 	Cited in 2 Corinthians 4:6	
46	0	46	3	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 and there was 				
47	0	47	3	Hebrew	אֽוֹר׃	אֽוֹר׃	’ō·wr	N-cs	Noun - common singular	216								 light 	.			
48	0	48	3	Hebrew																		
49	0	49	3	Hebrew																		
50	0	50	3	Hebrew																		
51	0	51	3	Hebrew																		
52	0	52	3	Hebrew																		
53	0	53	3	Hebrew																		
54	0	54	3	Hebrew																		
55	0	55	3	Hebrew																		
56	0	56	3	Hebrew																		
57	0	57	3	Hebrew																		
59	0	58	4	Hebrew	אֱלֹהִ֛ים	אֱלֹהִ֛ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:4						 And God 				
60	0	59	4	Hebrew	אֶת־	אֶת־	’eṯ-	DirObjM	Direct object marker	853								 - 				
58	0	60	4	Hebrew	וַיַּ֧רְא	וַיַּ֧רְא	way·yar	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7200								 saw 				
62	0	61	4	Hebrew	כִּי־	כִּי־	kî-	Conj	Conjunction	3588								 that 				
61	0	62	4	Hebrew	הָא֖וֹר	הָא֖וֹר	hā·’ō·wr	Art | N-cs	Article | Noun - common singular	216								 the light 				
63	0	63	4	Hebrew	ט֑וֹב	ט֑וֹב	ṭō·wḇ	Adj-ms	Adjective - masculine singular	2896								 [was] good 	,			
65	0	64	4	Hebrew	אֱלֹהִ֔ים	אֱלֹהִ֔ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430								 and [He] 				
64	0	65	4	Hebrew	וַיַּבְדֵּ֣ל	וַיַּבְדֵּ֣ל	way·yaḇ·dêl	Conj-w | V-Hifil-ConsecImperf-3ms	Conjunctive waw | Verb - Hifil - Consecutive imperfect - third person masculine singular	914								 separated 				
67	0	66	4	Hebrew	הָא֖וֹר	הָא֖וֹר	hā·’ō·wr	Art | N-cs	Article | Noun - common singular	216								 the light 				
68	0	67	4	Hebrew	וּבֵ֥ין	וּבֵ֥ין	ū·ḇên	Conj-w | Prep	Conjunctive waw | Preposition	996								 from 				
66	0	68	4	Hebrew	בֵּ֥ין	בֵּ֥ין	bên	Prep	Preposition	996								 . . . 				
69	0	69	4	Hebrew	הַחֹֽשֶׁךְ׃	הַחֹֽשֶׁךְ׃	ha·ḥō·šeḵ	Art | N-ms	Article | Noun - masculine singular	2822								 the darkness 	.			
70	0	70	4	Hebrew																		
71	0	71	4	Hebrew																		
72	0	72	4	Hebrew																		
73	0	73	4	Hebrew																		
74	0	74	4	Hebrew																		
75	0	75	4	Hebrew																		
76	0	76	4	Hebrew																		
77	0	77	4	Hebrew																		
78	0	78	4	Hebrew																		
79	0	79	4	Hebrew																		
81	0	80	5	Hebrew	אֱלֹהִ֤ים׀	אֱלֹהִ֤ים׀	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:5						 God 				
80	0	81	5	Hebrew	וַיִּקְרָ֨א	וַיִּקְרָ֨א	way·yiq·rā	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7121								 called 				
82	0	82	5	Hebrew	לָאוֹר֙	לָאוֹר֙	lā·’ō·wr	Prep-l, Art | N-cs	Preposition-l, Article | Noun - common singular	216								 the light 				
83	0	83	5	Hebrew	י֔וֹם	י֔וֹם	yō·wm	N-ms	Noun - masculine singular	3117							“ 	 day 	,	”		
84	0	84	5	Hebrew	וְלַחֹ֖שֶׁךְ	וְלַחֹ֖שֶׁךְ	wə·la·ḥō·šeḵ	Conj-w, Prep-l, Art | N-ms	Conjunctive waw, Preposition-l, Article | Noun - masculine singular	2822								 and the darkness 				
85	0	85	5	Hebrew	קָ֣רָא	קָ֣רָא	qā·rā	V-Qal-Perf-3ms	Verb - Qal - Perfect - third person masculine singular	7121								 He called 				
86	0	86	5	Hebrew	לָ֑יְלָה	לָ֑יְלָה	lā·yə·lāh	N-ms	Noun - masculine singular	3915							“ 	 night 	.	”		
87	0	87	5	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961					<p class=|tab1stline|>			 And there was 				
88	0	88	5	Hebrew	עֶ֥רֶב	עֶ֥רֶב	‘e·reḇ	N-ms	Noun - masculine singular	6153								 evening 	,			
89	0	89	5	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 and there was 				
90	0	90	5	Hebrew	בֹ֖קֶר	בֹ֖קֶר	ḇō·qer	N-ms	Noun - masculine singular	1242								 morning 	 — 			
92	0	91	5	Hebrew	אֶחָֽד׃פ	אֶחָֽד׃פ	’e·ḥāḏ	Number-ms	Number - masculine singular	259								 the first 				
91	0	92	5	Hebrew	י֥וֹם	י֥וֹם	yō·wm	N-ms	Noun - masculine singular	3117								 day 	.		Literally <i>day one</i>	
94	0	93	5	Hebrew																		
95	0	94	5	Hebrew																		
96	0	95	5	Hebrew																		
97	0	96	5	Hebrew																		
98	0	97	5	Hebrew																		
99	0	98	5	Hebrew																		
100	0	99	5	Hebrew																		
101	0	100	5	Hebrew																		
102	0	101	5	Hebrew																		
103	0	102	5	Hebrew																		
105	0	103	6	Hebrew	אֱלֹהִ֔ים	אֱלֹהִ֔ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:6	<p class=|subhdg|>The Second Day		<p class=|tab1stline|>			 And God 				
104	0	104	6	Hebrew	וַיֹּ֣אמֶר	וַיֹּ֣אמֶר	way·yō·mer	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	559								 said 	,			
106	0	105	6	Hebrew	יְהִ֥י	יְהִ֥י	yə·hî	V-Qal-Imperf.Jus-3ms	Verb - Qal - Imperfect Jussive - third person masculine singular	1961							“	 Let there be 				
107	0	106	6	Hebrew	רָקִ֖יעַ	רָקִ֖יעַ	rā·qî·a‘	N-ms	Noun - masculine singular	7549								 an expanse 			Or <i>a canopy</i> or <i>a firmament</i> or <i>a vault</i>; also in verses 7, 8, 14, 15, 17, and 20	
108	0	107	6	Hebrew	בְּת֣וֹךְ	בְּת֣וֹךְ	bə·ṯō·wḵ	Prep-b | N-msc	Preposition-b | Noun - masculine singular construct	8432								 between 				
109	0	108	6	Hebrew	הַמָּ֑יִם	הַמָּ֑יִם	ham·mā·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 	,			
110	0	109	6	Hebrew	וִיהִ֣י	וִיהִ֣י	wî·hî	Conj-w | V-Qal-ConjImperf.Jus-3ms	Conjunctive waw | Verb - Qal - Conjunctive imperfect Jussive - third person masculine singular	1961								 to 				
111	0	110	6	Hebrew	מַבְדִּ֔יל	מַבְדִּ֔יל	maḇ·dîl	V-Hifil-Prtcpl-ms	Verb - Hifil - Participle - masculine singular	914								 separate 				
112	0	111	6	Hebrew	בֵּ֥ין	בֵּ֥ין	bên	Prep	Preposition	996								 . . . 				
113	0	112	6	Hebrew	מַ֖יִם	מַ֖יִם	ma·yim	N-mp	Noun - masculine plural	4325								 the waters 				
114	0	113	6	Hebrew	לָמָֽיִם׃	לָמָֽיִם׃	lā·mā·yim	Prep-l | N-mp	Preposition-l | Noun - masculine plural	4325								 from the waters 	.	” 		
115	0	114	6	Hebrew																		
116	0	115	6	Hebrew																		
117	0	116	6	Hebrew																		
118	0	117	6	Hebrew																		
119	0	118	6	Hebrew																		
120	0	119	6	Hebrew																		
121	0	120	6	Hebrew																		
122	0	121	6	Hebrew																		
123	0	122	6	Hebrew																		
124	0	123	6	Hebrew																		
126	0	124	7	Hebrew	אֱלֹהִים֮	אֱלֹהִים֮	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:7						 So God 				
127	0	125	7	Hebrew	אֶת־	אֶת־	’eṯ-	DirObjM	Direct object marker	853								 - 				
125	0	126	7	Hebrew	וַיַּ֣עַשׂ	וַיַּ֣עַשׂ	way·ya·‘aś	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	6213								 made 				
128	0	127	7	Hebrew	הָרָקִיעַ֒	הָרָקִיעַ֒	hā·rā·qî·a‘	Art | N-ms	Article | Noun - masculine singular	7549								 the expanse 				
129	0	128	7	Hebrew	וַיַּבְדֵּ֗ל	וַיַּבְדֵּ֗ל	way·yaḇ·dêl	Conj-w | V-Hifil-ConsecImperf-3ms	Conjunctive waw | Verb - Hifil - Consecutive imperfect - third person masculine singular	914								 and separated 				
130	0	129	7	Hebrew	בֵּ֤ין	בֵּ֤ין	bên	Prep	Preposition	996								 . . . 				
131	0	130	7	Hebrew	הַמַּ֙יִם֙	הַמַּ֙יִם֙	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 				
132	0	131	7	Hebrew	אֲשֶׁר֙	אֲשֶׁר֙	’ă·šer	Pro-r	Pronoun - relative	834								 - 				
133	0	132	7	Hebrew	מִתַּ֣חַת	מִתַּ֣חַת	mit·ta·ḥaṯ	Prep-m	Preposition-m	8478								 beneath 				
134	0	133	7	Hebrew	לָרָקִ֔יעַ	לָרָקִ֔יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 [it] 				
135	0	134	7	Hebrew	וּבֵ֣ין	וּבֵ֣ין	ū·ḇên	Conj-w | Prep	Conjunctive waw | Preposition	996								 from 				
136	0	135	7	Hebrew	הַמַּ֔יִם	הַמַּ֔יִם	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325								 the waters 				
137	0	136	7	Hebrew	אֲשֶׁ֖ר	אֲשֶׁ֖ר	’ă·šer	Pro-r	Pronoun - relative	834								 - 				
138	0	137	7	Hebrew	מֵעַ֣ל	מֵעַ֣ל	mê·‘al	Prep-m	Preposition-m	5921								 above 				
139	0	138	7	Hebrew	לָרָקִ֑יעַ	לָרָקִ֑יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 - 	.			
140	0	139	7	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 And it was 				
141	0	140	7	Hebrew	כֵֽן׃	כֵֽן׃	ḵên	Adv	Adverb	3651								 so 	.			
142	0	141	7	Hebrew																		
143	0	142	7	Hebrew																		
144	0	143	7	Hebrew																		
145	0	144	7	Hebrew																		
146	0	145	7	Hebrew																		
147	0	146	7	Hebrew																		
148	0	147	7	Hebrew																		
149	0	148	7	Hebrew																		
150	0	149	7	Hebrew																		
151	0	150	7	Hebrew																		
153	0	151	8	Hebrew	אֱלֹהִ֛ים	אֱלֹהִ֛ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:8						 God 				
152	0	152	8	Hebrew	וַיִּקְרָ֧א	וַיִּקְרָ֧א	way·yiq·rā	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7121								 called 				
154	0	153	8	Hebrew	לָֽרָקִ֖יעַ	לָֽרָקִ֖יעַ	lā·rā·qî·a‘	Prep-l, Art | N-ms	Preposition-l, Article | Noun - masculine singular	7549								 the expanse 				
155	0	154	8	Hebrew	שָׁמָ֑יִם	שָׁמָ֑יִם	šā·mā·yim	N-mp	Noun - masculine plural	8064							“	 sky 	.	”		
156	0	155	8	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961					<p class=|tab1stline|>			 And there was 				
157	0	156	8	Hebrew	עֶ֥רֶב	עֶ֥רֶב	‘e·reḇ	N-ms	Noun - masculine singular	6153								 evening 	,			
158	0	157	8	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 and there was 				
159	0	158	8	Hebrew	בֹ֖קֶר	בֹ֖קֶר	ḇō·qer	N-ms	Noun - masculine singular	1242								 morning 	 — 			
161	0	159	8	Hebrew	שֵׁנִֽי׃פ	שֵׁנִֽי׃פ	šê·nî	Number-oms	Number - ordinal masculine singular	8145								 the second 				
160	0	160	8	Hebrew	י֥וֹם	י֥וֹם	yō·wm	N-ms	Noun - masculine singular	3117								 day 	.			
163	0	161	8	Hebrew																		
164	0	162	8	Hebrew																		
165	0	163	8	Hebrew																		
166	0	164	8	Hebrew																		
167	0	165	8	Hebrew																		
168	0	166	8	Hebrew																		
169	0	167	8	Hebrew																		
170	0	168	8	Hebrew																		
171	0	169	8	Hebrew																		
172	0	170	8	Hebrew																		
174	0	171	9	Hebrew	אֱלֹהִ֗ים	אֱלֹהִ֗ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:9	<p class=|subhdg|>The Third Day		<p class=|tab1stline|>			 And God 				
173	0	172	9	Hebrew	וַיֹּ֣אמֶר	וַיֹּ֣אמֶר	way·yō·mer	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	559								 said 	,			
176	0	173	9	Hebrew	הַמַּ֜יִם	הַמַּ֜יִם	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325							“	 Let the waters 				
177	0	174	9	Hebrew	מִתַּ֤חַת	מִתַּ֤חַת	mit·ta·ḥaṯ	Prep-m	Preposition-m	8478								 under 				
178	0	175	9	Hebrew	הַשָּׁמַ֙יִם֙	הַשָּׁמַ֙יִם֙	haš·šā·ma·yim	Art | N-mp	Article | Noun - masculine plural	8064								 the sky 				
175	0	176	9	Hebrew	יִקָּו֨וּ	יִקָּו֨וּ	yiq·qā·wū	V-Nifal-Imperf-3mp	Verb - Nifal - Imperfect - third person masculine plural	6960								 be gathered 				
179	0	177	9	Hebrew	אֶל־	אֶל־	’el-	Prep	Preposition	413								 into 				
181	0	178	9	Hebrew	אֶחָ֔ד	אֶחָ֔ד	’e·ḥāḏ	Number-ms	Number - masculine singular	259								 one 				
180	0	179	9	Hebrew	מָק֣וֹם	מָק֣וֹם	mā·qō·wm	N-ms	Noun - masculine singular	4725								 place 	,			
183	0	180	9	Hebrew	הַיַּבָּשָׁ֑ה	הַיַּבָּשָׁ֑ה	hay·yab·bā·šāh	Art | N-fs	Article | Noun - feminine singular	3004								 so that the dry [land] 				
182	0	181	9	Hebrew	וְתֵרָאֶ֖ה	וְתֵרָאֶ֖ה	wə·ṯê·rā·’eh	Conj-w | V-Nifal-ConjImperf-3fs	Conjunctive waw | Verb - Nifal - Conjunctive imperfect - third person feminine singular	7200								 may appear 	.	” 		
184	0	182	9	Hebrew	וַֽיְהִי־	וַֽיְהִי־	way·hî-	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	1961								 And it was 				
185	0	183	9	Hebrew	כֵֽן׃	כֵֽן׃	ḵên	Adv	Adverb	3651								 so 	.			
186	0	184	9	Hebrew																		
187	0	185	9	Hebrew																		
188	0	186	9	Hebrew																		
189	0	187	9	Hebrew																		
190	0	188	9	Hebrew																		
191	0	189	9	Hebrew																		
192	0	190	9	Hebrew																		
193	0	191	9	Hebrew																		
194	0	192	9	Hebrew																		
195	0	193	9	Hebrew																		
197	0	194	10	Hebrew	אֱלֹהִ֤ים׀	אֱלֹהִ֤ים׀	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:10						 God 				
196	0	195	10	Hebrew	וַיִּקְרָ֨א	וַיִּקְרָ֨א	way·yiq·rā	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7121								 called 				
198	0	196	10	Hebrew	לַיַּבָּשָׁה֙	לַיַּבָּשָׁה֙	lay·yab·bā·šāh	Prep-l, Art | N-fs	Preposition-l, Article | Noun - feminine singular	3004								 the dry [land] 				
199	0	197	10	Hebrew	אֶ֔רֶץ	אֶ֔רֶץ	’e·reṣ	N-fs	Noun - feminine singular	776							“	 earth 	,	”		
200	0	198	10	Hebrew	וּלְמִקְוֵ֥ה	וּלְמִקְוֵ֥ה	ū·lə·miq·wêh	Conj-w, Prep-l | N-msc	Conjunctive waw, Preposition-l | Noun - masculine singular construct	4723								 and the gathering 				
201	0	199	10	Hebrew	הַמַּ֖יִם	הַמַּ֖יִם	ham·ma·yim	Art | N-mp	Article | Noun - masculine plural	4325								 of waters 				
202	0	200	10	Hebrew	קָרָ֣א	קָרָ֣א	qā·rā	V-Qal-Perf-3ms	Verb - Qal - Perfect - third person masculine singular	7121								 He called 				
203	0	201	10	Hebrew	יַמִּ֑ים	יַמִּ֑ים	yam·mîm	N-mp	Noun - masculine plural	3220							“	 seas 	.	”		
205	0	202	10	Hebrew	אֱלֹהִ֖ים	אֱלֹהִ֖ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430								 And God 				
204	0	203	10	Hebrew	וַיַּ֥רְא	וַיַּ֥רְא	way·yar	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	7200								 saw 				
206	0	204	10	Hebrew	כִּי־	כִּי־	kî-	Conj	Conjunction	3588								 that 				
207	0	205	10	Hebrew	טֽוֹב׃	טֽוֹב׃	ṭō·wḇ	Adj-ms	Adjective - masculine singular	2896								 [it was] good 	.			
208	0	206	10	Hebrew																		
209	0	207	10	Hebrew																		
210	0	208	10	Hebrew																		
211	0	209	10	Hebrew																		
212	0	210	10	Hebrew																		
213	0	211	10	Hebrew																		
214	0	212	10	Hebrew																		
215	0	213	10	Hebrew																		
216	0	214	10	Hebrew																		
217	0	215	10	Hebrew																		
219	0	216	11	Hebrew	אֱלֹהִ֗ים	אֱלֹהִ֗ים	’ĕ·lō·hîm	N-mp	Noun - masculine plural	430		Genesis 1:11			<p class=|tab1stline|>			 Then God 				
218	0	217	11	Hebrew	וַיֹּ֣אמֶר	וַיֹּ֣אמֶר	way·yō·mer	Conj-w | V-Qal-ConsecImperf-3ms	Conjunctive waw | Verb - Qal - Consecutive imperfect - third person masculine singular	559								 said 	,			
221	0	218	11	Hebrew	הָאָ֙רֶץ֙	הָאָ֙רֶץ֙	hā·’ā·reṣ	Art | N-fs	Article | Noun - feminine singular	776							“	 Let the earth 				
220	0	219	11	Hebrew	תַּֽדְשֵׁ֤א	תַּֽדְשֵׁ֤א	taḏ·šê	V-Hifil-Imperf.Jus-3fs	Verb - Hifil - Imperfect Jussive - third person feminine singular	1876								 bring forth 				
222	0	220	11	Hebrew	דֶּ֔שֶׁא	דֶּ֔שֶׁא	de·še	N-ms	Noun - masculine singular	1877								 vegetation 	:			
224	0	221	11	Hebrew	מַזְרִ֣יעַ	מַזְרִ֣יעַ	maz·rî·a‘	V-Hifil-Prtcpl-ms	Verb - Hifil - Participle - masculine singular	2232								 seed-bearing 				
225	0	222	11	Hebrew	זֶ֔רַע	זֶ֔רַע	ze·ra‘	N-ms	Noun - masculine singular	2233								 . . . 				
223	0	223	11	Hebrew	עֵ֚שֶׂב	עֵ֚שֶׂב	‘ê·śeḇ	N-ms	Noun - masculine singular	6212								 plants 				
227	0	224	11	Hebrew	פְּרִ֞י	פְּרִ֞י	pə·rî	N-ms	Noun - masculine singular	6529								 and fruit 				
226	0	225	11	Hebrew	עֵ֣ץ	עֵ֣ץ	‘êṣ	N-msc	Noun - masculine singular construct	6086								 trees 	,			
228	0	226	11	Hebrew	עֹ֤שֶׂה	עֹ֤שֶׂה	‘ō·śeh	V-Qal-Prtcpl-ms	Verb - Qal - Participle - masculine singular	6213								 each bearing 				
229	0	227	11	Hebrew	פְּרִי֙	פְּרִי֙	pə·rî	N-ms	Noun - masculine singular	6529								 fruit 				
232	0	228	11	Hebrew	זַרְעוֹ־	זַרְעוֹ־	zar·‘ōw-	N-msc | 3ms	Noun - masculine singular construct | third person masculine singular	2233								 with seed 				
230	0	229	11	Hebrew	לְמִינ֔וֹ	לְמִינ֔וֹ	lə·mî·nōw	Prep-l | N-msc | 3ms	Preposition-l | Noun - masculine singular construct | third person masculine singular	4327								 according to its kind 				
231	0	230	11	Hebrew	אֲשֶׁ֥ר	אֲשֶׁ֥ר	’ă·šer	Pro-r	Pronoun - relative	834								 - 				
233	0	231	11	Hebrew	ב֖וֹ	ב֖וֹ	ḇōw	Prep | 3ms	Preposition | third person masculine singular									 - 				
234	0	232	11	Hebrew	עַל־	עַל־	‘al-	Prep	Preposition	5921								 - 				
235	0	233	11	Hebrew	הָאָ֑רֶץ	הָאָ֑רֶץ	hā·’ā·reṣ	Art | N-fs	Article | Noun - feminine singular	776								 - 	.	”		
